,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,"Perfectly nice, but ultimately basic in its approach. The nose is initally dry and woodsy, with plenty of balsam. Later on, the palate reveals a previously unseen black cherry element, while the finish is crisp and lean. Drink now."
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.9940000000000001,3.5,0.48,9.8,4,"Sweet cream, butterscotch and vanilla flavors give this wine immediate appeal. Fortunately, it also has a good core of lemons, limes and tropical fruits. The richness is balanced with crisp acidity."
41,8.8,0.61,0.3,2.8,0.08800000000000001,17.0,46.0,0.9976,3.26,0.51,9.3,4,"Nero d'Avola and Merlot are blended to produce a tight, crisp, cherry-driven red wine with almond and toasted pistachio overtones. Pair this wine with veal, chicken or pork."
45,4.6,0.52,0.15,2.1,0.054000000000000006,8.0,65.0,0.9934,3.9,0.56,13.1,4,"A soft, earthy wine, with light strawberry jelly Pinot Noir flavors and a gentle series of tannins. The edge on this wine comes from the fresh acidity that brings out the lightweight final texture."
73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,"Simple, easy and balanced, this crowd-pleasing Cab will satisfy for its wealth of ripe fruit and oak flavors. Floods the mouth with cassis, licorice and melted milk chocolate, wrapped in smooth, gentle tannins."
79,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,"Intensely peppery as well as fruity, this is a tight, crisp wine. It has creamy acidity as well as a more nervy, mineral character that shows a tangy texture at the end."
94,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,"Lean, focused cherry and raspberry aromas properly portend a snappy, fresh, edgy palate of semitart red plum and raspberry flavors. Buttery oak brings some softness, while the finish is a bit hot and high in acid. More traditional in style than modern."
151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,"An intensely ripe Syrah with the pure essence of cassis, kirsch and fudge. Has soft and melted tannins, and so the inclusion of 5% Viognier brings a welcome kick of citrus and acidity. Very delicious now."
161,7.6,0.68,0.02,1.3,0.07200000000000001,9.0,20.0,0.9965,3.17,1.08,9.2,4,"A little green and minty, with some stalky flavors, but dry and vibrant in acidity. Offers good cherry and raspberry pie flavors that are wrapped into a silky texture, with beautiful tannins. Drink now."
167,7.3,0.55,0.03,1.6,0.07200000000000001,17.0,42.0,0.9956,3.37,0.48,9.0,4,"There is perfumed fruit, with aromas of red currants. This wine, named after the granite soil which forms the base of Saint-Joseph, is earthy, ripe and firmly tannic, but with plenty of red fruit flavors. It should develop quickly, over the next 2-3 years."
170,7.9,0.885,0.03,1.8,0.057999999999999996,4.0,8.0,0.9972,3.36,0.33,9.1,4,"Fresh but creamy with layers of orange blossom, toast and citrus, this Chardonnay offers a vibrant, multifaceted character at a very reasonable price. Minerality lifts the fruit and gives the white a food pairing advantage."
199,6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,"Few wineries in California any longer produce this Chardonnay-like French variety, but Dutton-Goldfield continues to do a good job. It has a creamy texture, with flavors of peaches, green apples, pears, vanilla and cinnamon spice. With no oak, it's a clean, crisply acidic wine."
224,8.4,0.635,0.36,2.0,0.08900000000000001,15.0,55.0,0.99745,3.31,0.57,10.4,4,"Typical Garnacha-Tempranillo rosado, with fresh berry aromas and bright peach, nectarine and apple flavors. More lean and streamlined than bulky, so you won't find much in the way of red-fruit character. Clean, persistent and fresh."
261,7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,4,"Very dark and grapey, with raisin, licorice and bite to the bouquet. Saturated and heavy in the mouth, with lemony acidity framing loud, generic black fruit flavors. The finish features ample oak in the form of butter and coconut. A little overripe and oaky, but on the right path."
266,8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,9.8,4,"Soft and open, a little unfocused but a pleasantly ripe Chardonnay. The white fruit and acidity are well in balance in a wine that is perfectly ready to drink."
409,12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,4,"“Rotschiefer” means “red slate,” a reference to the soils underlying the vineyard parcel from which this wine is made. The wine itself is thick and rich, with pure scents of fresh-picked apples, and flavors of applesauce and minerals. Lacks the bit of zip that would put it over the top, ratings-wise, but still a very attractive wine for casual sipping. Imported by Magellan Wine Imports."
573,10.5,0.59,0.49,2.1,0.07,14.0,47.0,0.9991,3.3,0.56,9.6,4,"Aromas of smoky leather jump out of the glass followed by chocolate and rich red fruit. The finish returns to the chocolate theme, accompanied by vanilla bean. Expect Petite Sirah's classic color and texture in this wine, a tremendous value for the price."
576,9.9,0.5,0.24,2.3,0.10300000000000001,6.0,14.0,0.9978,3.34,0.52,10.0,4,"A bit harsh and rustic in the mouth, with tart acidity and thin cherry, cola and spice flavors. Nonetheless, it's nicely dry and clean."
600,8.2,0.915,0.27,2.1,0.08800000000000001,7.0,23.0,0.9962,3.26,0.47,10.0,4,"Always attractive, this light and fruity wine is crisp with lemon acidity and tart green apples. There is an attractive tangy character that gives the wine extra freshness. Drink now."
633,10.1,0.935,0.22,3.4,0.105,11.0,86.0,1.001,3.43,0.64,11.3,4,"This is a very dry wine, and full-bodied. It has blackberry, pepper, spice and herb flavors, and some firm tannins. The finish is clean and fruity. From Delicato."
647,8.3,0.845,0.01,2.2,0.07,5.0,14.0,0.9967,3.32,0.58,11.0,4,"Pèppoli is a tight and fresh wine, with lively, one-dimensional fruit. It doles out forest berry, cranberry and cassis notes, which are accompanied by bright acids."
659,7.1,0.84,0.02,4.4,0.096,5.0,13.0,0.997,3.41,0.57,11.0,4,"This great value wine opens with ripe fruit tones and blackberry followed by leather, spice and bitter almond. It's a correct wine with fun and informal flair making it perfect for pizza or take-out dinners."
703,7.5,0.38,0.48,2.6,0.073,22.0,84.0,0.9972,3.32,0.7,9.6,4,"This is an easy-drinking quaffer, the kind most people think of when they hear Riesling. It's off dry but well balanced, with slightly broad melon and peach notes. A nice patio sipper for summer 2011."
704,9.1,0.765,0.04,1.6,0.078,4.0,14.0,0.998,3.29,0.54,9.7,4,"Here's a cheerful vineyard-designate Valpolicella that would make a perfect partner to easy pasta or take-out pizza. The wine opens with zesty fruit and clean aromas of blueberry, raspberry and spice. The mouthfeel is compact and crisp with medium density."
724,7.5,1.115,0.1,3.1,0.086,5.0,12.0,0.9958,3.54,0.6,11.2,4,"This fine, oily-textured wine strikes a good balance between an herbaceous character and a firm, mineral texture. A touch of spice adds further interest on the finish."
813,6.9,0.39,0.24,2.1,0.102,4.0,7.0,0.9946200000000001,3.44,0.58,11.4,4,"I really liked the winery's 2003 Cab Franc, for its dark, black fruits laced with licorice and streaks of tarry tannin. What's missing here is that defining structure; they've slipped this one into the soft, smooth, generic red category. Sweet fruit, some smoke and a bit more stiffness to the tannins still make this wine a relative standout, but it's lost its edge."
830,7.5,0.685,0.07,2.5,0.057999999999999996,5.0,9.0,0.9963200000000001,3.38,0.55,10.9,4,"Prà's base Soave Classico is a crisp and clean white with measured tones of citrus and stone fruit. It's a snappy, zesty wine that would pair well with appetizers and finger foods."
833,11.6,0.47,0.44,1.6,0.147,36.0,51.0,0.99836,3.38,0.86,9.9,4,"Emphasizing the stalkiness of Cabernet Franc, with some smoky flavors and tight, dry tannins, this wine needs a few more months to bring out the berry fruits underneath. The balance, though, is potentially good, with fine fresh acidity."
872,7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.9957600000000001,3.43,0.54,10.0,4,"A well made easy drinker with clean apple-pear fruit and some mineral-chalk accents. Not really sweet, but the fruit is strong enough to make it seem slightly so. A refreshing wine that could satisfy a wide range of palates. It's uncomplicated, but satisfying rather than dull or cloying."
876,7.1,0.47,0.0,2.2,0.067,7.0,14.0,0.9951700000000001,3.4,0.58,10.9,4,There's a sweet touch of ripe peach and pineapple here followed by fragrant citrus and tangerine skin. This is an easy expression of Pinot Grigio that shows soft peach notes on the close.
927,8.4,0.67,0.19,2.2,0.09300000000000001,11.0,75.0,0.99736,3.2,0.59,9.2,4,"The packaging is amusing, the wine is 100% Cabernet Sauvignon, and it's quite a nice, refreshing sipper. Drinks totally dry and crisp in acids, with rosehip tea and black cherry flavors that finish long and spicy."
937,12.0,0.63,0.5,1.4,0.071,6.0,26.0,0.9979100000000001,3.07,0.6,10.4,4,"A fruity-sweet and soft wine, with candied flavors of berries, cherries and cocoa. Sweet oak adds even richer notes of vanilla and butterscotch."
1124,6.5,0.58,0.0,2.2,0.096,3.0,13.0,0.9955700000000001,3.62,0.62,11.5,4,"This is dense and saturated, with crushed blackberry and plum aromas that turn more jammy and granular as the wine breathes. It's extracted and heavy on the palate, with candied black plum and berry flavors that lose steam on the finish. This could be too heavy for fans of leaner-bodied wines."
1176,6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,4,"An elegant, rich wine that shows off its red fruit and light tannins well against a backdrop of red apple acidity. The wine is well balanced, its fruit lying well with some toast and yeast, leaving a bone-dry freshness."
1189,8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,4,"From San Rafael in southern Mendoza, this Cab Sauvignon picks up a little more steam and complexity every time you go back to it. The nose is your basic cassis and raspberry, while the medium-weight palate features ripe fruit finishing in a sweet cascade of milk chocolate and burnt brown sugar. Satisfying, especially if you like a hint of sweetness to your Cab."
1233,10.2,0.23,0.37,2.2,0.057,14.0,36.0,0.9961399999999999,3.23,0.49,9.3,4,"Siduri, based in Santa Rosa, California, is expanding their reach into Oregon. Current releases include this excellent Willamette Valley blend and a quartet of single-vineyard offerings. This wine is spicy, lightly touched with chocolate/nougat candy bar flavors, and nicely balanced, with moderate alcohol and firm acids."
1235,6.0,0.33,0.32,12.9,0.054000000000000006,6.0,113.0,0.99572,3.3,0.56,11.5,4,"Slightly quirky but wholly acceptable aromas of animal or natural rubber make a fleeting first impression. The wine then relaxes and delivers pleasing aromas of wild berry, spice and forest floor. The jury's out on how long the wine will age, but five years is a safe bet."
1238,8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,4,"Upon opening, the wine has scents that are ripe, leafy and slightly pruney, but the flavors come across as light and true. Cherry, fig and plum fruits, somewhat cooked, somewhat candied, mingle in a soft and fruity wine that takes some hours to smooth out. The fruit is both a little too ripe, and a bit green, the tannins green and the finish leafy."
1239,6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.9948799999999999,3.45,0.56,11.8,4,"Dark, earthy and rubbery aromas go along with a reasonably fruity bouquet, and as a whole the entry is good. The palate is full, a bit rough and rugged, with ripe, sweet black-cherry and cassis flavors. Concentrated and a touch syrupy, but good for what amounts to basic Cabernet."
1261,6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.9943700000000001,3.59,0.55,11.2,4,"Immediately striking, with bold musk and floral aromas that burst from the glass. Ripe, expansive melon and spice notes on the palate. Full-bodied and soft; not as refreshing as some vintages, but still a nice way to start a meal. Drink now."
1263,8.2,0.78,0.0,2.2,0.08900000000000001,13.0,26.0,0.9978,3.37,0.46,9.6,4,"The Loire produces a crisp style of Chardonnay, and this one emphasizes fresh lime and other citrus flavors. It has structure, a crisp core of pear skins with a floral, green finish."
1276,8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,4,"Villa Chigi Chianti is characterized by bright berry nuances of cherry and raspberry followed by a crisp, tart close. Pair this wine with stewed chicken cacciatore."
1293,7.5,0.755,0.0,1.9,0.084,6.0,12.0,0.99672,3.34,0.49,9.7,4,"Piccini shows confidence and consistency with this best-selling value wine. Easy aromas of wild berry, blue violet and moist earth reveal its Tuscan soul."
1307,6.8,0.68,0.09,3.9,0.068,15.0,29.0,0.99524,3.41,0.52,11.1,4,"Yellow fruits and fresh aromas characterize this attractive, fresh wine. With a touch of citrus to add to the bright character, it's a fruity wine that can be drunk now–2017."
1363,8.0,0.83,0.27,2.0,0.08,11.0,63.0,0.9965200000000001,3.29,0.48,9.8,4,"From vines nearly 30 years in age, this is Pinard's immediately attractive, drink-now wine. Fresh lemon and grapefruit flavors are lightly herbal in character. Juicy, lively and crisp, it's ready to drink."
1369,6.6,0.61,0.0,1.6,0.069,4.0,8.0,0.9939600000000001,3.33,0.37,10.4,4,"Not quite on a par with the '01 or '02, this is more like the 2000 Marinus. Made mainly of Cabernet Sauvignon, with the other four Bordeaux varieties, it's dry and gentle in tannins, with very ripe flavors of blackberry jam, cassis, cocoa, licorice and smoky oak. Elegant, but not an ager; drink now."
1423,6.4,0.53,0.09,3.9,0.12300000000000001,14.0,31.0,0.9968,3.5,0.67,11.0,4,"A useful wine, dry and medium-bodied, with rich raspberry, cherry, prosciutto and spice flavors. Good as a house red pour."
1461,6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,4,"Very smooth and soft, this is an interpretation of Bordeaux that left out the tannins. But the pleasure in this easy, ripe wine is there, the blackberry fruit rich and right up front."
1467,6.7,1.04,0.08,2.3,0.067,19.0,32.0,0.9964799999999999,3.52,0.57,11.0,4,"Full-bodied and ripely fruity, this has attractive strawberry fruits and a round texture. The acidity adds some freshness."
1480,5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62,10.1,4,"Smooth and rich, this 50-50 blend of Gros Manseng and Petit Manseng has ripe flavors of peach and kiwi that are layered with acidity and hints of herb and honey. It's fruity, but it also shows a mineral-driven structure."
1482,7.2,0.58,0.54,2.1,0.114,3.0,9.0,0.9971899999999999,3.33,0.57,10.3,4,"Intensely perfumed wine with concentrated, ripe flavors of bitter oranges and pepper. At the end, though, the primary taste is of freshness, with a lift of acidity."
1484,6.8,0.91,0.06,2.0,0.06,4.0,11.0,0.99592,3.53,0.64,10.9,4,"A thick and frothy  bubbly that tickles your nose with its effervescence, lemon-lime acidity, grass and gravel tones. Stone fruit rides smooth over a bone dry, mouth-cleansing finish. Imported by Dalla Terra."
1521,6.9,0.48,0.2,1.9,0.08199999999999999,9.0,23.0,0.99585,3.39,0.43,9.05,4,"Blackberry and cassis dominate the bouquet, with notes of coffee, sweet spice and savory herb adding complexity. Balanced and well structured with a medium-weight mouth and solid tannins. Grilled black plum flavors carry though on the finish. Drink now."
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,"One of the most pleasurable Syrahs now on the market. Really hits the spot, with soft, lush tannins framing ripe flavors of black cherries, milk chocolate, pepper, cloves and sandalwood. Drink now."
1,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,"A smooth wine that is ripe with rich berry and dark-plum fruits. With its soft tannins and juicy crisp acidity, the wine is warm, rounded and likely to develop quickly. Drink this already attractive smoky wine from 2020."
2,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,"Dense and leathery on the nose, this has aromas of briary berries and a hint of corn/masa. It feels round and textured, with healthy tannins and chewy flavors of blackberry, roasted beef and herb. The medium-long finish turns a touch more herbal and complex."
4,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,"88-90. Barrel sample. A wine that seems lean—it doesn't have the fruit weight to support the tannins, offering instead a more structured character."
5,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,"The wine opens with aromas of lush cherry fruit, cola, coffee and leather. It boasts very good intensity, chewy tannins and ripe succulence on the finish. A Sangiovese, Merlot and Cabernet Sauvignon blend."
6,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,"This drinks like a young Amarone but is priced like a Valpolicella red. Carefully aged in oak for 12 months, this is supple and soft, bursting with red fruit aromas and a long, spicy finish."
9,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,"Named after one of San Gimignano's famed stone towers, Arcidiavolo is a masculine, spicy wine with ripe fruit tones backed by leather, teriyaki sauce, smoked ham and black pepper. It's extracted and slight sweet-tasting, with silky tannins on the close."
10,6.7,0.58,0.08,1.8,0.09699999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,"This luminous Nebbiolo from the mountain vineyards of Valtellina opens with a pretty fragrance of rose petal, red berries, baking spice and a whiff of crushed rock. The understated palate delivers ripe wild cherry, cinnamon-spice, licorice and a mineral note alongside firm, fine-grained tannins. Drink through 2017."
11,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,"Winemaker Alana McGettigan is an associate of Matt Thomson (Saint Clair, Delta), so it's no surprise this Sauvignon Blanc overdelivers. Hints of tomato leaf garnish passion fruit and citrus flavors in this wine, which reveals a certain amount of austerity and restraint on the palate, a silky texture and a long, grapefruit-driven finish."
12,5.6,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,0.9943,3.58,0.52,9.9,5,"This is a warm wine with a rounded feel, making it soft and full of red fruits. It features strawberry sweetness as well as a tighter, more tannic character. It could well age, so wait until 2016."
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,"Peppery, grapey flavors, full body and a rich fine-grained texture make this wine distinctive to taste and soothing to drink. It's a very good example of a GSM, capturing the fullness and generosity of this type of blend made from Grenache, Syrah and Mourvèdre grapes."
14,8.9,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,0.9986,3.16,0.88,9.2,5,"Red fruit aromas precede good acidity and smoky flavors. The tannins certainly give dryness, but the dominant character is bright fruits layered with acidity. The aftertaste gives dryness and fruit."
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,"Among Wente's highest-priced offerings, this is an elegant Merlot, velvety textured and succulent in herbal cassis and luxurious red plum and cherry. With a gorgeous mouthfeel and some weight to the body, it'll stand up to equally elegant meals."
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,"Rich and oaky, with brisk acidity framing delicious flavors of pineapple custard, buttered toast and crème brûlée. Elegant and impressive for drinking now."
21,7.6,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,"Has an earthy, tree-bark aroma on the nose, followed on the palate by red plums, with a few cranberries and cherries thrown in. Wooly-textured, and layered, but approachable enough to enjoy with dinner."
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,"Movie popcorn, baked fruits and plenty of toast and vanilla work the entry, while forward flavors of apple and pear are kicked up a notch by full acidity. And what that all means is that fruit pierces the fairly heavy oak on this wine, leaving you with a lot of the positives of New World Chardonnay. Nice in this price range."
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,"The ripest of Curtis's new Syrahs, this bottle is powerful in chocolate, blackberry and cherry jam flavors, with an edge of sweet, spicy bacon. It's a rich, tasty wine meant for drinking now."
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,"The Cantina Negrar line (this cooperative is also responsible for the well-known Domìni Veneti line) offers good value and this delivers dark concentration and ripe aromas of mature fruit, raisin, coffee grounds and leather. Despite being young, it tastes older with tobacco and earth flavors and chewy tannins."
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,"Sol Huarpe's top wine, Xumek, has style and saucy sass. It's not just cookie-cutter ripe and rich, but instead shows herbs, mushroom and also ample black plum and berry flavors. In general it's nice for those seeking a touch more from their Argentinean Malbec. And it hails from lesser-known San Juan and not Mendoza, which may explain its unusual characteristics."
27,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,"There is a high level of wood here, but that is sustained by the weight of the black fruits and the rich tannins. The wood gives a vanilla character that will disappear in a year or two, leaving a solid wine that is dominated by ripe, sweet Merlot."
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,"Refined and austere, this mature Bunello offers dusty aromas of old spice, granite stone and dried currants. The wine offers good dimension and depth in the mouth with solid tannins that are neither grainy nor raw."
30,6.7,0.675,0.07,2.4,0.08900000000000001,17.0,82.0,0.9958,3.35,0.54,10.1,5,"Like most of Punset's wines, this Barbaresco should be cellar aged before it shows its best. Made using organic and biodynamic fruit, this offers an elegantly subdued berry tone, with long, polished tannins. Hold for 10 more years."
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,"This presents an aromatic wall of chocolate, cherry, toasted almonds, crème caramel and spice. In the mouth, it offers a long extension of flavors, chewy consistency and a solid backbone of sweet primary fruit."
34,5.2,0.32,0.25,1.8,0.10300000000000001,13.0,50.0,0.9957,3.38,0.55,9.2,5,"It's scented with a pretty mix of sandalwood, toasted cracker and blackberry jam, and the flavors follow into tart berry and black cherry. There's noticeable acid and some interesting grace notes, suggestive of flint and gun metal. The flavors linger pleasantly in the back of the throat. This is not a fleshy merlot by any means, but it is polished and evocative, and I like the suggestions of rock and iron ore that it has captured with the black cherry fruit."
39,7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,5,"This is a rich wine that's full of apricot, melon and pear flavors. It has weight, ripe fruit and a good touch of minerality, with a clean and crisp finish. Age this for a year or two."
40,7.3,0.45,0.36,5.9,0.07400000000000001,12.0,87.0,0.9978,3.33,0.83,10.5,5,"Black in color, with sweet, full-force aromas of cola and black fruits. There's staunch acidity on the palate, something that will barely be noticed if drunk with food. Meanwhile, the flavors are flashy but smooth, with a play toward coffee, blackberry, chocolate and herbs. Dense and deep; very nice Merlot."
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,"Varietally labeled Cabernet Franc is a rarity in Australia, but this is a fine example, boasting black cherry and cassis fruit with restrained herbal shadings. It's slightly austere and structured, a refreshing alternative among the Clare Valley firmament."
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,"Drinking tough in acids and fresh young tannins now, this is one you want to cellar. But the Sanford & Benedict Vineyard has one of California's greatest track records, and these Pinots soften and sweeten for years. With ripe cherry, blackberry and spice flavors, Sanford's '05 will be at its best 2009–2012. If you open it now, decant."
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,"Floral scents float above a chunky, cherry-fruited, single-vineyard wine. It's quite refreshing, with appealing texture and underlying minerality that compensates for the overall impression of palate lightness. Drink now through 2018, while the freshness remains at its peak."
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,"Ripe and full bodied, this is a wine that reflects the softness of the vintage. Aged in wood, it has a rounded texture, with spice, apricot and pineapple flavors, finishing with a touch of acidity."
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,"Lean and steely, with penetrating minerality, this bone-dry Riesling just begs to be paired with briny oysters or caviar. The palate boasts delicate apple and pear flavors that are layered with smoke, fresh fennel and a deliciously herbaceous finish."
49,5.6,0.31,0.37,1.4,0.07400000000000001,12.0,96.0,0.9954,3.32,0.58,9.2,5,"Whether you like this wine or not will depend largely on how oak-tolerant you are—it's 100% barrel fermented and shows plenty of smoky, nutty nuances. It's also markedly creamy, with rich fruit flavors that lean toward white peach, melon and fig. The long, layered finish has enough acidity to carry the weight and oak."
50,8.8,0.66,0.26,1.7,0.07400000000000001,4.0,23.0,0.9971,3.15,0.74,9.2,5,"Winemaker Jacques Grange produces relatively small quantities of this blend of 70% Grenache and 10% each of Bourboulenc, Clairette and Viognier. It's moderately weighty, but also refreshing, with bright notes of pineapple, star anise and balsam fir. Drink it over the next six months."
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,"Bold and full of berry and plum aromas. The palate is a touch short of refined but it features nice cherry, cassis and blackberry flavors. Plush in the mouth and on the finish, with tannins to spare. At its center it shows the slightest hint of green. Imported by Sovereign Wine Imports."
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,"This balanced, ripe and fruity wine is already refreshing and crisp. Plenty of red-currant flavors go along with the lively acidity and bright aftertaste."
56,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,"This doesn't disappoint. It's a Cabernet-based blend, with Merlot and Syrah. The '03 is lushly soft but dry and rich, with ripe, velvety tannins framing intense blackberry, coffee, tobacco and spice flavors. Should hit its stride by the end of 2007, and glide down for a couple of years after."
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,"An attractively balanced Moulin-à-Vent, this has firm tannins that contrast well with the damson flavor and tight acidity. The finish is fresh, with a hint of minerality."
58,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,"Sottimano makes five expressions of Barbaresco and this wine from the Pajoré cru delivers surprisingly ripe aromas of cherry, wild berries, white truffle, chopped herbs and drying mineral. It's an elegant and refined wine with noticeable acidity and a sharp finish, yet the 2007 summer heat shows up in the wine's flavors and fleshy aromas."
