,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
27,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6,"Cutting streaks of lime and lemon intensify the earthy, wet river-rock notes in this complex dry Riesling. There's plenty of pristine peach, yellow cherry and green apple fruitiness on the palate, but it's more about the rippling textures and mineral tones that take center stage. It's beautiful now, but concentrated enough to improve further with age. Drink from 2021."
28,7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6,"92-94 With huge tannins, very dark fruits, powerful and concentrated. The wine is ripe, juicy and firmly tannic."
29,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7,"Raisin, maple and vanilla aromas are derived from borderline overripe raw materials and 24 months in barrel. A hard palate pulls downward with massive tannins. Baked berry and chocolaty oak flavors finish with notes of berry pie and raisin."
30,8.5,0.24,0.39,10.4,0.044000000000000004,20.0,142.0,0.9974,3.2,0.53,10.0,6,"This opens with aromas of orchard fruit, citrus and toasted bread crust. The firm palate offers lime, vanilla, oak and yellow apple skin alongside bracing acidity. A note of bitter almond marks the finish."
31,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6,"Mulchy aromas are not uncommon for rosé from Penedès. This feels full, pulpy and citrusy, with fleshy weight. Orange and grapefruit flavors finish quick."
32,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6,"This soft, gentle wine is defined by its notes of pepper and spice. The light acidity is just a hint in the full, rounded palate."
33,6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6,"Inspired by Chinook and Amavi, who also make excellent rosés from Cab Franc, this is quite delicious, round and ripe with mixed cherry and apple fruit flavors. It's on the soft side, very accessible, with beautiful fruit and some delicate spice notes of cinnamon, sandalwood, hints of cotton candy."
34,5.8,0.27,0.2,14.95,0.044000000000000004,22.0,179.0,0.9962,3.37,0.37,10.2,5,"Sun-drenched and concentrated, this silken-textured dessert wine showcases a bounty of apricot, yellow-peach and orange-peel flavors. A Chardonnay-based blend augmented with Pinot Gris, Vignoles and Gewürztraminer, it's deliciously honeyed yet vibrantly balanced. A tinge of sweet corn on the finish lends to its summery, harvest feel."
35,7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5,"Medium bodied, this fruity vineyard-designate has a peppery spice note. A touch of dried herb and a hint of earth carry onto the finish."
36,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5,"Jammy and murky smelling, and lacking clarity and zap on the nose. Surprisingly, the palate is jacked up with acidity, and thus it's sharp in the mouth and strained. Flavors of red fruits are made creamy by forced oak, yielding a milk chocolate note to the finish."
37,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6,"This is the winery's first commercial release of this varietal, all aged in neutral French oak. It offers nuanced aromas of spice, tobacco, vanilla and savory notes that are followed by plentiful, palate-coating red and blue-fruit flavors that extend out through a long, fruit and spice-filled finish. Firm tannins provide the structure. It needs time still but possesses a delicious factor that is impossible to ignore."
38,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,Aromas recall woodland berry and rose petal. The vibrant palate offers juicy raspberry and almond alongside crisp acidity and supple tannins. Enjoy soon.
39,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5,"With toasty wood-aging flavors, this is a rich, spicy wine. It has a note of nutmeg to balance the citrus- and apricot-like acidity and the ripe depth of flavor."
40,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,6,"The nose is slightly creamy due to overt oak, and it's also somewhat disjointed, what with both bold berry fruit and a strong whiff of wet dog. In the mouth, things quickly turn grapey, and then that overt fruitiness morphs into cherry and espresso. Meanwhile, bursting acidity throughout keeps it lively and fresh. Best Buy."
41,6.7,0.24,0.39,2.9,0.17300000000000001,63.0,157.0,0.9937,3.1,0.34,9.4,6,"Monte Tombole Valpolicella opens with easy cherry and blueberry aromas backed by light nuances of spice and sweet vanilla. The wine is fresh, lean and crisp on the close."
42,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,"This is a medium-bodied, oak-inflected wine. Initial aromas of sun-warmed lumber and vanilla give way with air to scents of cola, earth and mocha. The overall impression is savory, especially on the long finish, which picks up some asphalt notes. Probably best with herb-crusted beef or lamb."
43,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6,"Lightly prickly on the tongue, this is a refreshing, almost dry wine. It is bright, lively and fruity with citrus and crisp apple flavors. The wine is light and bright with plenty of acidity at the end."
44,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6,"While the tannins are very present in this wine, it also has good acidity and blackberry fruits. It's firm and structured in the front, still young, although allowing plenty of room for the fruit to show strongly over the next few years. Drink from 2019."
45,7.4,0.18,0.31,1.4,0.057999999999999996,38.0,167.0,0.9931,3.16,0.53,10.0,7,"Fresh apple, lemon and peach notes are shaded by darker tones of dusty mineral and struck flint in this medium-bodied Pinot Grigio. It's a bit closed in profile, but refreshing and dry with an invigorating lime finish."
46,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.9940000000000001,3.27,0.52,9.8,4,"Sweet roasted red pepper, black plum, black cherry and delicious apple aromas lead to a palate of simple red to black fruit, toast and dried herbs. Finishes long with a touch of pepper and grilled meat. The structure provided by balanced tannins and acidity suggest a reward for aging."
47,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,5,"Pignoletto is a little-known grape variety that is rarely produced as a mono-varietal expression. It's even rarer to see it in a sparkling, or frizzante, version like this: Sweet floral aromas are backed by bright peach nectar."
48,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6,"You'll love the way this wine builds in intensity on the nose and on the palate. The blend is Sangiovese, Merlot and Cabernet Sauvignon, and together the varieties deliver bright berry flavors and firm structure."
49,6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5,"Aromas of underbrush, tilled soil, leather, red berry and mint come together in the glass. The focused palate delivers dried cherry, licorice, tobacco, grilled sage and a precise mineral vein alongside chewy but fine-grained tannins. It's still young and tightly wound but should open up over the next few years. Drink 2016–2023."
50,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6,"Made with 50% Nero d'Avola and 50% Syrah, this presents aromas of dark berry, allspice and Mediterranean herb. The firm palate offers dried black cherry, black pepper and clove alongside fine-grained tannins."
51,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,7,"Simple, clean and easygoing, this fresh Chianti delivers some mature tones of strawberry and cherry backed by chewy succulence and medium structure."
52,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,7,"On the nose, tropical fruit aromas are cloaked in creamy, toasty oak. It feels full and round, with flavors of sweet pear, banana and a lot of resiny wood. The finish features walnut, vanilla and cream flavors."
53,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,6,"Aged partially in old oak barrels, there's a distinctly savory, spicy tone to pressed apple and pear aromas on this reserve Riesling. Light-bodied and off-dry in style, the palate boasts honeyed apple flavors cut by a zesty streak of lemon-lime acidity. Lifted floral tones lift the finish."
54,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,6,"Deep ruby pink in color, this wine begins with a nuanced nose, mixing the fun of grape soda with the elegance of purple flowers. On the palate, it's a tad boozy for pink wine, but the flavors of cherry and currant stand out in front of the alcohol. It would make a nice companion for a dish with ample flavors and actual warmth, such as chicken soup or a tuna melt."
55,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6,"This is a fairly big, muscular Pinot Noir, with beefy black-cherry fruit and oaky overtones of brown sugar. Give it a year or more to smooth out, because the long, intense finish filled with berry fruit shows tremendous promise. Drink 2013–2020."
56,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,6,"Winemaker Larry McKenna now has 30 years of experience with Martinborough Pinot Noir, and its on full display in this blend assembled from various plots around the village. Aromas of flowers, tea and cola lead into flavors of blackberries, vanilla and spice, framed by ample tannins. Drink 2020–2030."
57,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,"White rose, tangerine skin and honey open the bouquet of this beautiful cool-climate Pinot Bianco. Its structure is firm and creamy enough to pair with Pacific seafood or grilled shrimp."
58,6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.9931,3.11,0.38,10.2,6,"Sharp in acidity and jellied, with sweet black cherry, cola and oak flavors."
59,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6,"A pure expression of the Garganega grape, Rocca Sveva is a fresh and tart Soave Classico with spicy notes of stone fruit, yellow flower and dried herbs. Pair this wine with easy grilled tuna steak and sesame sauce."
60,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,6,"Aromas of peach, green apple and freesia yield to flavors of apricot, peach, orange zest and rose petal. Light in the mouth, with touches of smooth viscosity, the finish is bright but pleasantly subdued."
61,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6,"The charity Hospices of Belleville owns the land as part of its foundation, with the wines being made by Beaune negociant Joseph Drouhin. This wine is attractively fruity and soft. With its red-cherry and lightly spiced flavors, which are cut with acidity, it has a fine balanced texture, finishing with bright red-fruit acidity. Drink now."
62,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,5,"Soft, lightly creamy, with hints of raspberry and fresh red currants. The mousse is fleeting, leaving fruit and acidity."
63,6.6,0.38,0.15,4.6,0.044000000000000004,25.0,78.0,0.9931,3.11,0.38,10.2,6,"Here's a fresh and lively super Tuscan blend that would make a fantastic companion to roasted lasagna with ground beef and hearty tomato sauce. The wine is soft, velvety and layered with mature aromas of red berry, spice, leather and tobacco."
64,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6,"Cigar box and very ripe strawberry dominate the aromatic profile, though a bit of bell pepper lingers in the background. It's light and racy on the palate, with cherry cola, cedar and mellow tannins, making for a very fresh and fun wine, best served after mild chilling."
65,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5,"A pretty wine that shows elegance in its structure. Mostly Sauvignon Blanc, with a splash of Sémillon, it's not truly dry, with a sweetly jammy finish. Shows oak-inspired flavors of pineapples, Key lime pie, honeysuckle and vanilla."
66,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7,"This blend of Sangiovese, Merlot and Sagrantino offers rustic, almost funky but not unpleasant aromas of tilled soil, toast, meat juice and truffle. The palate opens with delicious black cherry, raspberry and clove flavors, along with notes of well-integrated oak and evident alcohol."
67,6.7,0.25,0.13,1.2,0.040999999999999995,81.0,174.0,0.992,3.14,0.42,9.8,5,"Here's a Sauvignon Blanc (with 15% Chardonnay) from a warm Italian climate (Cortona, Tuscany) that offers broad and thick aromas of passionfruit, peach and a touch of mango. The wine is light and streamlined in the mouth and makes a good partner to light finger foods or appetizers."
68,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,"Mostly Grenache (88%) along with Syrah from River Rock and Northridge vineyards respectively, this wine is notably pale in color. The aromas of dried brown stems, white pepper, clove, tangerine peel, plum, fresh flowers and pomegranate are expressive. The elegant flavors display delicacy and complexity, while showing exceptional polish and balance. It's all about subtlety and nuance."
69,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,"Airfield reds are thoroughly saturated with color, and often quite tannic, to the detriment of the lighter, more subtle fruit. This wine loses its definition and turns from pretty to pretty harsh as a result."
70,6.2,0.27,0.43,7.8,0.055999999999999994,48.0,244.0,0.9956,3.1,0.51,9.0,6,"Wiry, slightly grassy aromas of raspberry and plum come with a touch of oaky vanilla. This Malbec feels downright hard and choppy due to tough gritty tannins. Plum and berry flavors come in blips rather than a harmonious whole, and this tastes of lactic oak and rubber on the finish."
71,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,"This Sicilian Chardonnay presents stone fruit, pear and honey backed by a slightly pungent, acetone-like note in the background that doesn't disturb too much. It tastes smooth, fresh and offers tingling spice on the finale."
72,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5,"There is dense, ripe fruit here, although with an austere, serious edge. The wine has firm yet juicy blackberry fruits along with concentrated tannins. It is firm, dark, with the potential for good red berry fruits."
73,8.6,0.23,0.46,1.0,0.054000000000000006,9.0,72.0,0.9941,2.95,0.49,9.1,6,"A really nice Sauvignon Blanc, so easy to drink for its dryness, tart crispness and minerality. It feels clean and palate-stimulating, and offers enough citrus, honeysuckle and vanilla flavors to satisfy."
74,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8,"Aged four years before disgorgement, this ripe and generously soft wine has both mature toasty flavors and great acidity. Rich in apricot as well as white fruit flavors, it is well balanced, with layers of acidity smoothed by the yeasty aftertaste. Drink now."
75,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5,"This is always a major wine, and this vintage is no exception. It is spectacularly ripe, spicy, concentrated and fruity. The yellow fruits, tangy citrus and mineral structure all contribute to an intense complexity. Age this wine for many years and don't drink before 2017."
76,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,7,"This is a brilliant wine that showcases Edna Valley's ability to produce some of the purest white-wine flavors in California. If there's any oak, it's not apparent at all. What you get are crisp, clean flavors of citrus and tropical fruits, peaches, vanilla, white pepper and herbs."
77,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7,"This bright Nero di Troia represents the values of the natural wine movement in southern Italy. Organically farmed fruit shows simple aromas of cherry and wild berry, matched with a pristine, polished mouthfeel."
78,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5,"This wine is ripe and immediately drinkable. It has a rich feel, the yellow and white stone-fruit flavors giving a full character that is soft and creamy. It is very ready to drink."
79,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5,"Dusty spice and resiny oak aromas sit on top of pedestrian apple, pear and melon notes. This Chardonnay from a complicated, rainy vintage feels round and chunky, and sort of oily. Oaky peach flavors finish with little but barrel spice."
80,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6,"This has the capacity to rev-up any meat-based meal thanks to its aromatic intensity and overall spiciness. Sweet and savory at the same time, it delivers black cherry, clove, smoked bacon, leather, cola and dried fruit aromas."
81,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6,"Tasted just after bottling, the wine was a little bottle-shocked, but should be fine by Summer 2010. Rich and creamy, with complex tropical fruit, buttered toast, lemondrop candy and honeysuckle flavors. An amazing 111,000 cases were produced."
82,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,5,"The aromas start out reticent, with notes of black licorice, kirsch, black olive and earth along with some barrel notes. The flavors are bold, full and palate coating, and are capped off by a lengthy finish."
83,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6,"This is spicy and sharp, with high-toned fruit flavors of berry and currant. Acids are strong and provide good focus, with a spicy/peppery note resonating through the finish."
84,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,"Cherry granita, black slate, rose petals and a tinge of sagey herbs combine on this single-clone study by winemaker Clarissa Nagy. The flavors are high toned, tight and quite elegant, with shaved tobacco, black pepper, and clingy acidity, before unleashing an energetic wave of espresso and orange rinds."
85,7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.9975,3.12,0.46,8.7,6,"The initially sumptuous notions of peach are quickly tinged by a more intriguing note of smoke. Honeyed notes join in before they explode on the palate into a rich, lemon-caramel flavor. This has concentration and verve and cuts its sweetness admirably, so much so that this becomes a lip-smacking tightrope walk of lush, sweet caramel and tight, spritzy lemon zest. Exciting."
86,7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.9974,3.09,0.44,8.7,6,"This is a soft, creamy wine with a texture that is dry while also rounded. White fruits, lemony acidity and a mineral edge are all consistent. The finish is full of acidity and a touch of bitterness."
87,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6,"Serpico is a beautiful but also modern expression of Aglianico (the grapes come from ancient vines in the Taurasi area) that opens with dark notes of blackberry, crushed stone, chocolate, rum cake, licorice and cola. The mouthfeel is smooth, firm and very rich."
88,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5,"Grainy, resiny oak aromas share space on the nose with herbal black fruit and green scents. This is racy and fresh for Carmenère, with full-force tannins. Herbal, roasted black-fruit and chocolate flavors are long and oaky on the finish, with a mocha note. Drink through 2020."
89,7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,0.9975,3.12,0.46,8.7,6,This is all citrus and herbal flavors from an estate noted for its pure white wines. It makes for a tight zesty wine with a chalky mineral texture. The fruits are developing to give a crisp wine that's full of fruit along with intense acidity. Drink from 2022.
90,7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.9974,3.09,0.44,8.7,6,"Angels is made from a majority of Merlot, the balance nearly equal parts Cabernet Sauvignon and Cabernet Franc. Black pepper, clove and a whiff of Dr Pepper give it a spiciness that's also fruity, while a softness of texture and medium body maintain approachability."
91,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,5,"Edwards has worked with this Laguna Ridge site for decades and her intimate understanding of it shows. Rose petals ride a voluptuous texture and concentrated notes of chocolate, caramel and black cherry; it's as savory as it is buoyant and floral. Still holding on to a wealth of tannin and body, it will cellar well despite being delicious and enjoyable today."
92,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7,"Ripe and rich, this offers layers of yellow fruits over a crisper, more steely texture. From one of the largest vineyards in Montagny, this concentrated wine needs time to develop. Drink from 2018."
93,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,7,"Aromatically intriguing, it offers notes of apricot, dried pear and soda water. It's full of sweet stone fruit flavors but doesn't quite have the concentration to keep it all together."
94,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7,"The 2011 vintage created wines with underripeness and low alcohol, and this Riesling attempts to cut the sourness with its 2.4% residual sugar. It comes across as a mix of lemon juice, orange juice, and simple sweetness."
95,7.1,0.26,0.29,12.4,0.044000000000000004,62.0,240.0,0.9969,3.04,0.42,9.2,6,"This single-vineyard Pinot Gris is smooth as silk, loaded with fresh, well-defined flavors of melon. A touch of spring herb is delicately applied. Not a big, fruity wine, but delicious in a rather quiet way."
96,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,"Creamy notes pear crumble make for a most attractive nose. The palate follows with gentle softness and concentration, supported by bright, fresh acidity. The creamy notes continue alongside notes of green and red apple and fresh pear. There is a lot of substance and body, so have this alongside a meal, the finish is superclean."
97,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,7,"This is a floral blend of 48% Roussanne, 35% Marsanne and 17% Viognier. The Roussanne speaks loudest, while the whole offers a mix of dried and fresh apricot and creamy vanilla wafer that's light bodied and fresh with acidity."
98,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3,10.1,4,"Although the wood aging shows strongly at the moment, there is enough weight of ripe black currant fruits to integrate as the wine matures. Then, it will be a firm-though-fruity wine, solid and chunky."
99,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6,"Fiery cherry, blackberry, spice, toast and animal aromas lead to a racy, intense, narrow palate. Plum, blackberry and peppery flavors finish with toastiness, spice and juicy acidity that highlights the high tones in this blend of three Malbec vineyards. Drink through 2022."
